index,question,answer,answer_status,source_stage,source_confidence,source_paths,source_count,source_note,evidence
79,恒一会 かえで総合病院の計画フォルダ内において、データアステル側の担当者のうち、1タスク当たりの想定工数（想定工数 ÷ 担当タスク数）が最も大きい人のフルネームと、その1タスク当たりの想定工数を小数第2位で答えてください。ファイルに鍵がかかっている場合は社内管理を確認してください。,松本 真央、35.00時間,answered,EDA057_kaede_locked_schedule_fallback_actions,medium,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/02.計画/スケジュール.xlsx | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-30.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告.pptx.md,4,EDA057個別routeで採用,"{""schedule_status"": {""status"": ""BadZipFile"", ""path"": ""data\\raw\\share\\share\\共有ドライブ\\プロジェクト\\医療法人社団 恒一会 かえで総合病院\\02.計画\\スケジュール.xlsx"", ""error"": ""File is not a zip file""}, ""total_hours_source"": ""data\\processed\\share\\share\\共有ドライブ\\プロジェクト\\医療法人社団 恒一会 かえで総合病院\\06.報告書\\医療法人社団 恒一会 かえで総合病院_最終報告.pptx.md"", ""action_record_count"": 16}"
80,東都人材プラットフォームのtrain.xlsxにおいて、Sheet2の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,抽出条件はGender=Male、target=2、Age=40-44、Country=Spain。集計内容は個数=12。,answered,EDA055,medium,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx.sheets/Sheet1.csv,2,EDA055の採用ログ,抽出条件はGender=Male、target=2、Age=40-44、Country=Spain。集計内容は個数=12。
81,京橋信用ソリューションズとの契約書において、太字で記載されている部分を抽出してください。,契約締結日兼効力発生日:2025-10-01,answered,EDA035,medium,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx.structure.json,1,EDA035の改善ログ,"data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx.structure.json block=115: 契約締結日兼効力発生日:2025-10-01 {'text': '契約締結日兼効力発生日:2025-10-01', 'bold': True, 'italic': False, 'underline': False, 'font_color': '', 'highlight': '', 'font_name': '', 'font_size_pt': None}"
82,蒼泉会 ひがし丘総合病院のスケジュール.xlsxにおいて、WBSシートでオレンジ色にハイライトされている行のタスクIDをすべて教えてください。,T02、T14、T16、T22、T24,answered,EDA035,medium,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx.structure.json,1,EDA035の改善ログ,"data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx.structure.json WBS fill=FFFFF0E6: {'No': '2', 'フェーズ': 'フェーズ1 立上げ・要件確認', 'タスクID': 'T02', 'タスク名': 'キックオフ実施', '詳細・内容': '目的変数charges定義、対象範囲、除外列id、評価指標確認。会議運営・報告ルール・医療データ取扱い留意点を合意', '担当者': '加藤 大輔 / 宮本 恒一', '開始日': '2025-07-08', '終了日': '2025-07-08', '依存タスク': 'T01', '成果物': 'キックオフ議事録', 'ステータス': '完了', '備考': 'MS1対応。クライアント会議'}
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx.structure.json WBS fill=FFFFF0E6: {'No': '14', 'フェーズ': 'フェーズ3 モデリング・評価', 'タスクID': 'T14', 'タスク名': '中間報告会実施', '詳細・内容': '初期モデル結果、重要変数傾向、深掘り観点を確認', '担当者': '加藤 大輔 / 山本 彩乃', '開始日': '2025-07-22', '終了日': '2025-07-22', '依存タスク': 'T13', '成果物': '中間報告議事録', 'ステータス': '完了', '備考': 'MS3対応。クライアント会議'}
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx.structure.json WBS fill=FFFFF0E6: {'No': '16', 'フェーズ': 'フェーズ3 モデリング・評価', 'タスクID': 'T16', 'タスク名': '変更管理チェックポイント実施', '詳細・内容': '追加要望の影響範囲、納期、費用影響を判定', '担当者': '加藤 大輔 / 宮本 恒一', '開始日': '2025-07-24', '終了日': '2025-07-24', '依存タスク': 'T14', '成果物': '変更管理判定記録', 'ステータス': '完了', '備考': 'MS4対応。追加対応は時間単価ベースで別途見積'}
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx.structure.json WBS fill=FFFFF0E6: {'No': '22', 'フェーズ': 'フェーズ4 示唆整理・最終報告', 'タスクID': 'T22', 'タスク名': '最終報告会実施', '詳細・内容': '最終成果物提出、説明完了、次フェーズ候補整理', '担当者': '加藤 大輔 / 山本 彩乃 / 藤田 彩', '開始日': '2025-08-05', '終了日': '2025-08-05', '依存タスク': 'T21', '成果物': '最終報告議事録', 'ステータス': '完了', '備考': 'MS7対応。クライアント会議'}
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx.structure.json WBS fill=FFFFF0E6: {'No': '24', 'フェーズ': '支払管理', 'タスクID': 'T24', 'タスク名': '第1回実績精算請求・支払管理', '詳細・内容': '支払条件:当月分タイムシート確定後、請求書受領から5営業日以内。金額(税込):4,675,000円', '担当者': '加藤 大輔 / 宮本 恒一', '開始日': '2025-07-08', '終了日': '2025-08-13', '依存タスク': 'T02', '成果物': '請求・支払管理記録', 'ステータス': '完了', '備考': 'MS8対応。支払期日:2025-08-13'}"
83,蒼樹会 みなみ野女性医療センターのtrain.xlsxにおいて、回帰分析の結果として記載されている係数をindex=1770のデータに当てはめたときの予測値はいくつですか。小数第5位まで答えてください。,0.38317,answered,EDA055,medium,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx.sheets/Sheet1.csv | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx.sheets/train.csv,2,EDA055の採用ログ,0.38317
84,東都人材プラットフォームの最終報告書で分析結果が記載されている中で、モデル毎のF1スコアがランキング形式で記載されているページ数を教えてください。,5ページ目。,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/06.報告書/株式会社東都人材プラットフォーム_最終報告.pptx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
85,青葉バイオメディカル機器の最終報告において、設定されたKPIとして未達成とされている項目を挙げてください。,なし,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/06.報告書/株式会社青葉バイオメディカル機器_最終報告.pptx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
86,各案件のPP・契約書・PLAN・FRにおいて、DA側の実施体制として役割付きで記載されている人物は全部で何人ですか。,9,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/06.報告書/京橋信用ソリューションズ株式会社_最終報告.pptx.structure.json | data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.structure.json,3,EDA046の改善ログ,"""契約書"",
""Plan""
""PLAN"","
87,完了案件のうち、社内管理のAPRでAPR-M1に該当し、かつ顧客データのサンプル数が10000行以上の案件を、案件略称ですべて挙げてください。,該当案件なし,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/社内管理/社内用語集.docx | share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md | share/共有ドライブ/社内管理/データアステル社内規定_パスワード導出規則.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/報告資料_2025-07-23.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
88,蒼樹会 みなみ野女性医療センターの提案書内のスケジュール案において、第5週目に実施することになっている項目は何ですか。,解釈分析・特徴量整理、業務活用示唆整理、最終報告書ドラフト作成,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx | share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx | share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/06.報告書/医療法人社団 蒼樹会 みなみ野女性医療センター_最終報告.pdf,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
89,京橋信用ソリューションズのスケジュール.xlsxにおいて、フェーズNo6にて最後に開始するタスク名は何ですか。,最終モデル確定・再評価,answered,EDA035,medium,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/WBSタスク一覧.csv,1,EDA035の改善ログ,"タスクID                      T23
フェーズNo.                    6.0
フェーズ名            最終成果物化・納品・検収会
タスク名               最終モデル確定・再評価
詳細・補足           最終モデルの確定と再評価実施
担当者                      鈴木 美咲
開始日                 2025-11-01
終了日                 2025-11-05
日数                  =H24-G24+1
依存タスク                      T22
成果物                     最終評価結果
ステータス                       完了
CP                           ●
備考                            
_date      2025-11-01 00:00:00"
90,青潮モビリティサービスのスケジュール.xlsxにおいて、バッファとして使用した工数の合計は何時間ですか。,14時間,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/06.報告書/株式会社青潮モビリティサービス_最終報告.pdf | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/報告資料_2025-07-23.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
91,京橋信用ソリューションズの顧客データにおいて、目的変数と最も強い負の相関を持つカラムは何ですか。,campaign,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv.data.csv,1,EDA046の改善ログ,"campaign   -0.076118
day        -0.031058
id         -0.003555
age         0.020892
balance     0.045826
previous    0.083825
pdays       0.100930
duration    0.401390"
92,恒一会 かえで総合病院案件において、マイルストーンID、タスクID、アクションIDの3種類のIDは合計でいくつ発行されていますか。マークダウンファイル以外から算出してください。,41件,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/00.提案/提案書.pptx | share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/02.計画/スケジュール.xlsx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
93,蒼樹会 みなみ野女性医療センターのアクションIDA10の内容をそのまま抜き出してください。,index再実験の結果反映,answered,EDA053_safe,medium,EDA/EDA052/rendered_pages/医療法人社団_蒼樹会_みなみ野女性医療センター_会議録_2025_05_15_pdf_page002.png,1,EDA053_safeの採用ログ,index再実験の結果反映
94,蒼樹会 みなみ野女性医療センターのスケジュール.xlsxにおいて、MS3に紐づくタスクのうち、ビジネスアナリストが関わっているタスクIDを答えてください。,[],answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx | share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/06.報告書/医療法人社団 蒼樹会 みなみ野女性医療センター_最終報告.pdf,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
95,青嶺不動産アセットマネジメントのスケジュール_r1.xlsxとスケジュール_r2.xlsxを比較したとき、未着手から完了への変更を除いて、案件遂行に関連する変更点を挙げてください。,T15「モデル評価・重要特徴量整理」の担当者が、渡辺 遥から渡辺 遥 / 小林 直樹に変更された。,answered,EDA056,medium,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx.sheets/スケジュール.csv | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.sheets/スケジュール.csv,2,EDA056の採用ログ,T15「モデル評価・重要特徴量整理」の担当者が、渡辺 遥から渡辺 遥 / 小林 直樹に変更された。
96,青葉与信マネジメントのチェックポイント2として設定されている内容に関連するタスクIDを教えてください。,T05、T06、T07、T08,answered,EDA054,medium,EDA/EDA050/tables/checkpoint_task_inventory.csv | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx.sheets/Sheet2.csv,2,EDA054の採用ログ,T05、T06、T07、T08
97,青葉バイオメディカル機器のtrain.xlsxにおいて、黄色ハイライトが交差している2つのセルの値の差の絶対値を計算してください。,3778,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json,499,EDA046の改善ログ,"data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R2=6151、条件: id=train_0000、Age=41、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R3=2373、条件: id=train_0001、Age=26、Attrition=Yes、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R4=1878、条件: id=train_0002、Age=18、Attrition=Yes、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R5=13525、条件: id=train_0003、Age=42、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R6=2293、条件: id=train_0004、Age=24、Attrition=Yes、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R7=10851、条件: id=train_0005、Age=45、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R8=4377、条件: id=train_0006、Age=24、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R9=3690、条件: id=train_0007、Age=50、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R10=2657、条件: id=train_0008、Age=31、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R11=8789、条件: id=train_0009、Age=35、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R12=2904、条件: id=train_0010、Age=23、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R13=5467、条件: id=train_0011、Age=47、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R14=1951、条件: id=train_0012、Age=35、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R15=5476、条件: id=train_0013、Age=31、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R16=6549、条件: id=train_0014、Age=28、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R17=3904、条件: id=train_0015、Age=26、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R18=3423、条件: id=train_0016、Age=46、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R19=2272、条件: id=train_0017、Age=23、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R20=11904、条件: id=train_0018、Age=59、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R21=6142、条件: id=train_0019、Age=27、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R22=2782、条件: id=train_0020、Age=37、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R23=9602、条件: id=train_0021、Age=37、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R24=2596、条件: id=train_0022、Age=28、Attrition=Yes、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R25=2089、条件: id=train_0023、Age=43、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R26=5301、条件: id=train_0024、Age=30、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R27=16307、条件: id=train_0025、Age=51、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R28=6929、条件: id=train_0026、Age=31、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R29=16823、条件: id=train_0027、Age=40、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R30=13973、条件: id=train_0028、Age=50、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R31=2044、条件: id=train_0029、Age=20、Attrition=Yes、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R32=2974、条件: id=train_0030、Age=29、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R33=5304、条件: id=train_0031、Age=30、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R34=7428、条件: id=train_0032、Age=37、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R35=6577、条件: id=train_0033、Age=30、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R36=2406、条件: id=train_0034、Age=38、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R37=3195、条件: id=train_0035、Age=44、Attrition=No、集計: MonthlyIncome
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json train!R38=3748、条件: id=train_0036、Age=30、Attrition=No、集計: MonthlyIncome
dat"
98,TM案件において、RATEが変更されたのは何年何月1日からと想定されますか。,o 契約開始日: 2025-08-06(適用開始),answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/報告資料/報告資料_2025-08-06.pdf | share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx | share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/ニューヨーク不動産市場の最新動向調査.pdf,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
99,蒼樹会 みなみ野女性医療センターの糖尿病統計情報調査結果において、死亡率が最も高い都道府県の死亡率は、4番目に低い都道府県の死亡率の何倍ですか。小数第2位まで求めてください。,3.00,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
